id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,label long
Quellon-Greyjoy,Quellon Greyjoy,2,7,0,1,0.001063099,0.014770957,Quellon Greyjoy
Sawane-Botley,Sawane Botley,1,3,0,1,6.72E-04,0.005282159,Sawane Botley
Garrett-Paege,Garrett Paege,1,3,0,5,5.85E-04,0.049395713,Garrett Paege
Gerold-Grafton,Gerold Grafton,1,3,0,8,7.80E-04,0.001496374,Gerold Grafton
Terrance-Lynderly,Terrance Lynderly,3,12,504,8,0.001705568,0.009335562,Terrance Lynderly
Kojja-Mo,Kojja Mo,2,15,0,0,9.12E-04,0.01991263,Kojja Mo
Melisandre,Melisandre,17,155,882.4640672,0,0.005860851,0.197045549,Melisandre
Gormon-Tyrell,Gormon Tyrell,1,3,0,3,9.60E-04,0.001013036,Gormon Tyrell
Walgrave,Walgrave,2,13,504,3,0.001561955,0.002921118,Walgrave
Grenn,Grenn,3,14,224.1360397,0,0.001447398,0.041582087,Grenn
Pypar,Pypar,4,20,287.0925317,0,0.001792452,0.052716512,Pypar
Gyles-Grafton,Gyles Grafton,2,8,0,8,0.001070939,0.008666491,Gyles Grafton
Harras-Harlaw,Harras Harlaw,1,3,0,1,6.88E-04,0.009488798,Harras Harlaw
Sigfryd-Harlaw,Sigfryd Harlaw,2,7,0,1,0.001074317,0.005983902,Sigfryd Harlaw
Hugo-Vance,Hugo Vance,1,3,0,5,5.85E-04,0.049395713,Hugo Vance
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen,1,3,0,5,6.32E-04,0.006659515,Jaehaerys I Targaryen
Josmyn-Peckledon,Josmyn Peckledon,2,23,0,5,8.95E-04,0.057051985,Josmyn Peckledon
Joy-Hill,Joy Hill,1,3,0,5,5.85E-04,0.049395713,Joy Hill
Karyl-Vance,Karyl Vance,1,4,0,5,5.85E-04,0.049395713,Karyl Vance
Lewys-Piper,Lewys Piper,1,3,0,5,5.85E-04,0.049395713,Lewys Piper
Pia,Pia,4,22,45.87245684,5,0.001458759,0.121462522,Pia
Rennifer-Longwaters,Rennifer Longwaters,2,6,504,5,0.001310508,0.05029177,Rennifer Longwaters
Ronnet-Connington,Ronnet Connington,2,7,0,5,8.30E-04,0.07109381,Ronnet Connington
Shitmouth,Shitmouth,1,3,0,5,5.85E-04,0.049395713,Shitmouth
Sybell-Spicer,Sybell Spicer,4,13,419.7444015,0,0.001669541,0.071591456,Sybell Spicer
Vargo-Hoat,Vargo Hoat,2,9,31.1308221,5,9.44E-04,0.052323744,Vargo Hoat
Wylis-Manderly,Wylis Manderly,2,6,0,5,8.32E-04,0.078549869,Wylis Manderly
Zollo,Zollo,2,6,31.1308221,8,9.44E-04,0.052323744,Zollo
Jeyne-Farman,Jeyne Farman,1,4,0,5,6.82E-04,0.007349592,Jeyne Farman
Jeyne-Westerling,Jeyne Westerling,1,3,0,6,5.99E-04,0.016976959,Jeyne Westerling
Tanda-Stokeworth,Tanda Stokeworth,1,4,0,5,8.94E-04,0.001251451,Tanda Stokeworth
Lothor-Brune,Lothor Brune,4,16,142.2633683,8,0.00142524,0.055398956,Lothor Brune
Mya-Stone,Mya Stone,4,25,1,8,0.001525478,0.01801194,Mya Stone
Lucas-Codd,Lucas Codd,2,6,504,1,0.001615812,0.002925141,Lucas Codd
Torwold-Browntooth,Torwold Browntooth,1,3,0,1,9.83E-04,9.83E-04,Torwold Browntooth
Luwin,Luwin,1,3,0,2,9.07E-04,0.001762018,Luwin
Lyn-Corbray,Lyn Corbray,3,14,3.416666667,8,0.001227832,0.026188325,Lyn Corbray
Lyonel-Corbray,Lyonel Corbray,2,7,0,8,9.01E-04,0.019543022,Lyonel Corbray
Marillion,Marillion,2,10,0,8,8.34E-04,0.023836772,Marillion
Nestor-Royce,Nestor Royce,5,52,0.25,8,0.001656429,0.065353293,Nestor Royce
Mathis-Rowan,Mathis Rowan,1,3,0,5,5.43E-04,0.025751548,Mathis Rowan
Manfrey-Martell,Manfrey Martell,1,4,0,4,8.58E-04,0.001437466,Manfrey Martell
Willas-Tyrell,Willas Tyrell,1,3,0,5,5.37E-04,0.026375244,Willas Tyrell
Myranda-Royce,Myranda Royce,3,13,99.31319867,8,0.001168186,0.0382858,Myranda Royce
Trystane-Martell,Trystane Martell,2,13,39.93856497,4,8.32E-04,0.029336959,Trystane Martell
Ralf-Stonehouse,Ralf Stonehouse,2,6,0,1,0.001092097,0.011838265,Ralf Stonehouse
Quill,Quill,1,4,0,3,7.46E-04,0.002149957,Quill
Rosey,Rosey,1,9,0,3,7.46E-04,0.002149957,Rosey
Pate-(whipping-boy),Pate (whipping boy),1,4,0,5,5.33E-04,0.03328607,Pate (whipping boy)
Puckens,Puckens,2,6,504,5,0.001240607,0.024642495,Puckens
Shortear,Shortear,1,3,0,5,8.24E-04,0.002084211,Shortear
Qhorin-Halfhand,Qhorin Halfhand,4,12,8.728571429,0,0.001669177,0.055771331,Qhorin Halfhand
Quhuru-Mo,Quhuru Mo,2,8,0,0,0.001064879,0.013558762,Quhuru Mo
Xhondo,Xhondo,2,22,0,0,0.001064879,0.013558762,Xhondo
Ralf-(Limper),Ralf (Limper),1,7,0,1,6.88E-04,0.009488798,Ralf (Limper)
Torbert,Torbert,1,4,0,5,8.30E-04,0.004145604,Torbert
Rugen,Rugen,1,3,0,5,8.53E-04,0.003625643,Rugen
Roose-Bolton,Roose Bolton,8,66,212.3735563,2,0.002773085,0.13085578,Roose Bolton
Theobald,Theobald,1,7,0,0,6.12E-04,0.011921794,Theobald
Tickler,Tickler,1,4,0,8,5.80E-04,0.014252843,Tickler
Sarella-Sand,Sarella Sand,1,3,0,4,5.83E-04,0.004487246,Sarella Sand
Shae,Shae,2,7,0,7,9.55E-04,0.052385121,Shae
Talbert-Serry,Talbert Serry,1,10,0,1,6.88E-04,0.009488798,Talbert Serry
Aegon-I-Targaryen,Aegon I Targaryen,1,4,0,9,5.79E-04,0.036514549,Aegon I Targaryen
Daenerys-Targaryen,Daenerys,58,721,25929.94179,9,0.019311193,0.542594587,Daenerys Targaryen
Franklyn-Flowers,Franklyn Flowers,3,10,504,7,0.001446333,0.029113106,Franklyn Flowers
Haldon,Haldon,11,135,517.8984127,7,0.003529382,0.127169145,Haldon
Harry-Strickland,Harry Strickland,3,31,1.892857143,7,0.001237827,0.030051246,Harry Strickland
Jon-Connington,Jon Connington,16,169,2585.615465,7,0.005170995,0.237718695,Jon Connington
Lemore,Lemore,7,54,0.642857143,7,0.002158996,0.106816082,Lemore
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar),1,4,0,7,5.71E-04,0.013080612,Rhaenys Targaryen (daughter of Rhaegar)
Rolly-Duckfield,Rolly Duckfield,8,101,2.098412698,7,0.002440421,0.114020858,Rolly Duckfield
Viserys-Targaryen,Viserys Targaryen,5,20,79.37617769,9,0.001719952,0.100783698,Viserys Targaryen
Yandry,Yandry,7,65,0.642857143,7,0.002158996,0.106816082,Yandry
Ysilla,Ysilla,6,46,0,7,0.001880108,0.092518679,Ysilla
Aenys-Frey,Aenys Frey,3,13,33.49754918,0,0.001362267,0.031758712,Aenys Frey
Hosteen-Frey,Hosteen Frey,2,11,0,0,0.001006318,0.013847905,Hosteen Frey
Wyman-Manderly,Wyman,14,98,2514.938034,0,0.005334616,0.159957966,Wyman Manderly
Aggo,Aggo,6,36,2.224206349,9,0.001859017,0.085896005,Aggo
Daario-Naharis,Daario Naharis,15,155,71.02493895,9,0.004248253,0.158965505,Daario Naharis
Grey-Worm,Grey Worm,7,41,2.424242424,9,0.00209649,0.10323919,Grey Worm
Jhogo,Jhogo,7,43,4.771825397,9,0.002157448,0.089114378,Jhogo
Rakharo,Rakharo,6,36,1.503968254,9,0.00184939,0.074928388,Rakharo
