id,label,top label,degree,weighted degree,modularity class,eigencentrality,pagerank,betweenness
Orell,Orell,,2,9,2,0.036317024,0.001297165,0
Dick-Follard,Dick Follard,,2,8,2,0.035164698,0.001282609,0
Coldhands,Coldhands,,2,7,8,0.024381612,0.001284562,2.742164646
Vyman,Vyman,,2,13,1,0.042441074,0.001274588,0
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg,,2,9,2,0.037750529,0.001272078,0
Bannen,Bannen,,2,16,2,0.020156768,0.001270329,0
Ramsay-Snow,Ramsay Snow,,2,8,7,0.055045871,0.001271299,0
Oswell-Kettleblack,Oswell Kettleblack,,2,9,0,0.061765219,0.001269964,0
Clubfoot-Karl,Clubfoot Karl,,2,9,2,0.024205232,0.001265211,0
Dirk,Dirk,,2,10,2,0.024205232,0.001265211,0
Robin-Ryger,Robin Ryger,,2,12,7,0.076164952,0.001236798,0
Husband,Husband,,2,7,5,0.01693103,0.001233196,0
Brella,Brella,,2,8,0,0.057005367,0.001224945,0
Butterbumps,Butterbumps,,2,10,0,0.057404106,0.001207935,0
Jack-Bulwer,Jack Bulwer,,2,9,5,0.020615446,0.001202665,0
Mallador-Locke,Mallador Locke,,1,4,2,0.002370441,0.001198621,0
Ottyn-Wythers,Ottyn Wythers,,1,6,2,0.002370441,0.001198621,0
Tysha,Tysha,,2,6,0,0.097940109,0.001194234,0
Alerie-Hightower,Alerie Hightower,,2,6,0,0.032237437,0.001181546,0
Gerald-Gower,Gerald Gower,,1,3,3,0.001585686,0.001173875,0
Lancel-Lannister,Lancel Lannister,,2,10,0,0.056389061,0.001173645,0
Grazdan-mo-Eraz,Grazdan mo Eraz,,1,3,6,0.001839587,0.001146791,0
Luwin,Luwin,,1,5,8,0.003593282,0.001106127,0
Biter,Biter,,1,3,7,0.003579312,0.001092919,0
Tion-Frey,Tion Frey,,1,6,1,0.003682442,0.001089305,0
Groleo,Groleo,,1,6,6,0.007298159,0.001035948,0
Rhaegel-Targaryen,Rhaegel Targaryen,,1,5,6,0.007298159,0.001035948,0
Softfoot,Softfoot,,1,3,2,0.002979244,9.96E-04,0
Nage,Nage,,1,3,7,0.005046308,9.82E-04,0
Daeron-I-Targaryen,Daeron I Targaryen,,1,3,3,0.007122223,9.78E-04,0
Patchface,Patchface,,1,3,3,0.007122223,9.78E-04,0
Cressen,Cressen,,1,4,3,0.008909756,9.34E-04,0
Munda,Munda,,1,4,2,0.00566501,9.27E-04,0
Moon-Boy,Moon Boy,,1,3,0,0.010076747,9.28E-04,0
Leonette-Fossoway,Leonette Fossoway,,1,3,0,0.009734808,9.18E-04,0
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),,1,3,0,0.010346968,9.15E-04,0
Grisel,Grisel,,1,3,0,0.017307474,9.14E-04,0
Yohn-Royce,Yohn Royce,,1,3,0,0.017307474,9.14E-04,0
Rossart,Rossart,,1,4,7,0.013007191,9.12E-04,0
Byam-Flint,Byam Flint,,1,3,2,0.007819518,9.05E-04,0
Ragwyle,Ragwyle,,1,3,2,0.007075509,9.04E-04,0
Perwyn-Frey,Perwyn Frey,,1,3,1,0.037559341,8.96E-04,0
Rolph-Spicer,Rolph Spicer,,1,5,1,0.037559341,8.96E-04,0
Tristifer-IV-Mudd,Tristifer IV Mudd,,1,3,1,0.037559341,8.96E-04,0
Blane,Blane,,1,3,2,0.011966958,8.85E-04,0
Joramun,Joramun,,1,3,2,0.013817782,8.81E-04,0
Arson,Arson,,1,3,2,0.030405319,8.81E-04,0
Zei,Zei,,1,3,2,0.030405319,8.81E-04,0
Brenett,Brenett,,1,3,1,0.033241673,8.80E-04,0
Rodrik-Cassel,Rodrik Cassel,,1,3,1,0.033241673,8.80E-04,0
Watt,Watt,,1,3,2,0.007106195,8.69E-04,0
Merrit,Merrit,,1,3,5,0.008700162,8.66E-04,0
Jack-Be-Lucky,Jack Be Lucky,,1,5,5,0.010405049,8.64E-04,0
Azor-Ahai,Azor Ahai,,1,3,3,0.028087969,8.60E-04,0
Anders-Yronwood,Anders Yronwood,,1,3,0,0.020005902,8.56E-04,0
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight),,1,3,7,0.04292328,8.52E-04,0
Urswyck,Urswyck,,1,11,7,0.04292328,8.52E-04,0
Wynton-Stout,Wynton Stout,,1,3,2,0.013275177,8.50E-04,0
Kella,Kella,,1,3,0,0.044457745,8.51E-04,0
Mordane,Mordane,,1,4,0,0.044457745,8.51E-04,0
Maegor-I-Targaryen,Maegor I Targaryen,,1,3,0,0.020897829,8.44E-04,0
Joanna-Lannister,Joanna Lannister,,1,4,0,0.032683575,8.39E-04,0
Chataya,Chataya,,1,4,0,0.053482364,8.38E-04,0
Galyeon-of-Cuy,Galyeon of Cuy,,1,3,0,0.053482364,8.38E-04,0
Mad-Huntsman,Mad Huntsman,,1,4,5,0.037551736,8.37E-04,0
Pate-(Old),Pate (Old),,1,4,5,0.037551736,8.37E-04,0
Ravella-Swann,Ravella Swann,,1,7,5,0.037551736,8.37E-04,0
