id,label,degree,weighted degree,pagerank,betweenness,modularity class,eigencentrality,top label
Shagga,Shagga,4,26,0.003059279,257.3333333,2,0.076371198,
Mors-Umber,Mors Umber,1,3,0.001200291,0,5,0.004680536,
Dontos-Hollard,Dontos Hollard,5,37,0.003283327,257,2,0.187552496,
Moon-Boy,Moon Boy,1,5,0.001137279,0,2,0.010749577,
Doran-Martell,Doran Martell,3,11,0.001943132,0.6,2,0.098488944,
Drennan,Drennan,2,6,0.001995628,0,5,0.021676213,
Squint,Squint,3,9,0.002801358,0.5,5,0.02397853,
Grenn,Grenn,3,17,0.002553144,2.616666667,0,0.01167895,
Stonesnake,Stonesnake,4,26,0.003213802,1.666666667,0,0.028404009,
Maron-Greyjoy,Maron Greyjoy,1,3,0.001014924,0,3,0.034584092,
Steffon-Varner,Steffon Varner,1,3,0.001734364,0,3,0.001101269,
Euron-Greyjoy,Euron Greyjoy,1,4,0.001201818,0,5,0.019398736,
Farlen,Farlen,1,6,0.001201818,0,5,0.019398736,
Florian-the-Fool,Florian the Fool,2,11,0.002331642,257,6,0.039042295,
Jonquil,Jonquil,1,8,0.001570078,0,6,0.002738896,
Murch,Murch,1,5,0.002000746,0,5,9.04E-04,
Garlan-Tyrell,Garlan Tyrell,2,7,0.001451184,0,3,0.071382326,
Lollys-Stokeworth,Lollys Stokeworth,2,12,0.001481549,0,2,0.024800495,
Hake,Hake,1,4,0.001148786,0,0,0.019409336,
Hallyne,Hallyne,2,8,0.001428042,0,2,0.108640598,
Halys-Hornwood,Halys Hornwood,1,3,0.001115967,0,5,0.011471376,
High-Septon-(fat_one),High Septon (fat_one),1,4,0.001029461,0,2,0.052720288,
High-Septon-(Tyrions),Tyrion's High Septon,1,4,0.001029461,0,2,0.052720288,
Hobber-Redwyne,Hobber Redwyne,1,7,0.001557137,0,7,0.003670053,
Horas-Redwyne,Horas Redwyne,2,10,0.002301233,257,7,0.056761532,
Mebble,Mebble,1,4,0.001112796,0,4,0.006371818,
Tysha,Tysha,3,10,0.001939727,2.978340906,2,0.096922006,
Jaremy-Rykker,Jaremy Rykker,2,6,0.001802837,0,0,0.009701659,
Jarman-Buckwell,Jarman Buckwell,3,14,0.002372473,0,0,0.029110995,
Jason-Mallister,Jason Mallister,1,4,0.001201818,0,5,0.019398736,
Ottyn-Wythers,Ottyn Wythers,3,9,0.002419627,0,0,0.0287635,
Mace-Tyrell,Mace Tyrell,6,23,0.003941999,268.039667,3,0.156262673,
Jon-Fossoway,Jon Fossoway,1,3,0.001188129,0,3,0.007426018,
Lark,Lark,1,4,0.001148786,0,0,0.019409336,
Rattleshirt,Rattleshirt,3,14,0.002548915,0.666666667,0,0.025765996,
Jon-Umber-(Greatjon),Greatjon,1,8,0.001059782,0,3,0.042426167,
Kyra,Kyra,1,4,0.001201818,0,5,0.019398736,
Lorent-Caswell,Lorent Caswell,1,3,0.001045361,0,3,0.036318241,
Lorren,Lorren,4,17,0.003535507,2.833333333,5,0.026632621,
Urzen,Urzen,2,6,0.001953157,0,5,0.021935668,
Paxter-Redwyne,Paxter Redwyne,1,3,0.001137571,0,3,0.009201454,
Martyn-Rivers,Martyn Rivers,1,3,0.001059782,0,3,0.042426167,
Robert-Arryn,Robert Arryn,1,4,0.001075959,0,2,0.016947801,
Trystane-Martell,Trystane Martell,1,4,0.001075959,0,2,0.016947801,
Olyvar-Frey,Olyvar Frey,1,4,0.001059782,0,3,0.042426167,
Palla,Palla,1,6,0.001810693,0,5,0.027376785,
Perwyn-Frey,Perwyn Frey,2,6,0.001870478,24.41075199,3,0.045696491,
Qyburn,Qyburn,1,3,0.001109309,0,4,0.01007471,
Steffon-Baratheon,Steffon Baratheon,2,6,0.001516006,0,3,0.075797339,
Rickard-Karstark,Rickard Karstark,1,3,0.001059782,0,3,0.042426167,
Walder-Frey,Walder Frey,2,9,0.00158994,0,3,0.052500877,
Robett-Glover,Robett Glover,2,6,0.001631276,0,4,0.011509522,
Shadd,Shadd,1,3,0.001389848,0,3,0.003270324,
Werlag,Werlag,2,6,0.002024967,0,5,0.02166941,
