id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,short label,modularity_class,top label
Stannis-Baratheon,Stannis Baratheon,12,105,7.622469081,5,0.006932571,0.359808304,Stannis,4,Stannis
Stevron-Frey,Stevron Frey,2,8,0,6,0.002099156,0.043921642,Stevron Frey,2,
Stiv,Stiv,2,7,0,0,0.001855305,0.066292845,Stiv,1,
Syrio-Forel,Syrio Forel,3,31,2.116311098,4,0.002394023,0.092444247,Syrio Forel,0,
Theon-Greyjoy,Theon Greyjoy,15,133,168.7523402,0,0.009429821,0.363024802,Theon,1,Theon
Thoros-of-Myr,Thoros of Myr,1,5,0,4,0.001466678,0.008791793,Thoros of Myr,0,
Timett,Timett,2,7,0,6,0.002470407,0.042627882,Timett,2,
Tobho-Mott,Tobho Mott,1,7,0,5,0.001388061,0.050873836,Tobho Mott,4,
Todder,Todder,4,31,0,3,0.003390004,0.043331042,Todder,6,
Tomard,Tomard,7,42,5.104686,5,0.004659886,0.187138208,Tomard,4,
Tommen-Baratheon,Tommen Baratheon,8,37,9.541001519,4,0.004960147,0.247617607,Tommen,0,
Torrhen-Karstark,Torrhen Karstark,3,11,4.684920635,5,0.002843829,0.087527495,Torrhen Karstark,4,
Tregar,Tregar,1,4,0,5,0.001388061,0.050873836,Tregar,4,
Tyrion-Lannister,Tyrion Lannister,46,650,3272.606016,6,0.033014499,0.76674623,Tyrion,2,Tyrion
Tytos-Blackwood,Tytos Blackwood,3,10,185,6,0.003558643,0.049709485,Tytos Blackwood,2,
Tywin-Lannister,Tywin Lannister,22,181,450.6071384,6,0.013481468,0.469962802,Tywin,2,Tywin
Ulf-son-of-Umar,Ulf son of Umar,1,4,0,6,0.001860289,0.003540313,Ulf,2,
Vardis-Egen,Vardis Egen,6,37,20.43449504,6,0.004899743,0.106999133,Vardis Egen,2,
Varly,Varly,1,4,0,5,0.001388061,0.050873836,Varly,4,
Varys,Varys,17,231,185.7202718,5,0.009626264,0.498642946,Varys,4,Varys
Vayon-Poole,Vayon Poole,5,28,0,5,0.003380303,0.18582558,Vayon Poole,4,
Viserys-Targaryen,Viserys Targaryen,8,105,49.16335101,1,0.005566906,0.09293888,Viserys,3,Viserys
Walder-Frey,Walder Frey,7,41,556.3859307,6,0.005764495,0.128321224,Walder Frey,2,
Waymar-Royce,Waymar Royce,3,34,115.4173119,7,0.003689186,0.018208572,Waymar Royce,7,
Wendel-Manderly,Wendel Manderly,2,6,0,6,0.001922448,0.070301595,Wendel Manderly,2,
Will-(prologue),Will-(prologue),2,30,0,7,0.00289812,0.003006326,Will,7,
Willis-Wode,Willis Wode,6,28,6.669261294,6,0.004606018,0.1168915,Willis Wode,2,
Wyl-(guard),Wyl (guard),4,15,28.04742186,5,0.003262518,0.109365751,Wyl,4,
Wylla,Wylla,1,3,0,5,0.001388061,0.050873836,Wylla,4,
Yoren,Yoren,7,33,3.636859573,3,0.004803258,0.192992739,Yoren,6,
